,CourseNum,CourseName,Credits,Description,Topics
84,ECE468,Optical Remote Sensing,b'3',"
Optical sensors including single element and area arrays (CCDs); optical systems including imagers, spectrometers, interferometers, and lidar; optical principles and light gathering power; electromagnetics of atomic and molecular emission and scattering with applications to the atmosphere the prime example; applications to ground and spacecraft platforms. Four laboratory sessions (4.5 hours each) arranged during term in lieu of four lectures. Same as AE_468. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_329, ECE_313.
","provide the necessary background in electromagnetics and radiation physics in order to study wave propagation of short wavelengths (<20 mm) in the atmosphere and through optical systems for detection, understanding of basic optical systems and traditional detectors for passive (photometers, imagers, spectrometers, and interferometers) and active systems (lidar), basic signal processing activities associated with optical remote sensing, including image processing, remote sensing platform traits including ground and spacecraft systems, basic understanding of the atmosphere and measurement parameters including composition, density, temperature, and wind (Doppler) and to experience a real world analysis problems"
85,ECE469,Power Electronics Laboratory,b'2',"
Circuits and devices used for switching power converters, solid-state motor drives, and power controllers; dc-dc, ac-dc, and dc-ac converters and applications; high-power transistors and magnetic components; design considerations including heat transfer. 2 undergraduate hours. 2 graduate hours. Prerequisite: ECE_343; credit or concurrent registration in ECE_464.
",semiconductor measurements and driver circuits passive components magnetics non-isolated converters multi-quadrant converters isolated converters dc motor drives high-performance power supplies one-phase and three-phase converters batteries and chargers simple inverters pulse-width modulations ac motor drives switching amplifiers photovoltaic and renewable energy applications vehicle systems semiconductor measurements and driver circuits passive components magnetics non-isolated converters multi-quadrant converters isolated converters dc motor drives high-performance power supplies one-phase and three-phase converters batteries and chargers simple inverters pulse-width modulations ac motor drives switching amplifiers photovoltaic and renewable energy applications vehicle systems
86,ECE470,Introduction to Robotics,b'4',"
Fundamentals of robotics including rigid motions; homogeneous transformations; forward and inverse kinematics; velocity kinematics; motion planning; trajectory generation; sensing, vision; control. Same as AE_482 and ME_445. 4 undergraduate hours. 4 graduate hours. Prerequisite: One of MATH_225, MATH_286, MATH_415, MATH_418.
","Introduction: Historical development of robots; basic terminology and structure; robots in automated manufacturing, robot configuration space and its topology, degrees of freedom Rigid Motions and Homogeneous Transformation: Rotations and their composition; Exponential coordinates; Screw theory; Twists; Euler angles; homogeneous transformations Forward Kinematics: Common robot configurations; Product of Exponentials formula; Denavit-Hartenberg convention Velocity kinematics: Angular velocity and acceleration; The Jacobian Statics of open chains: The use of the Jacobian; singular configurations; manipulability Inverse kinematics: Planar mechanisms; geometric approaches; pseudoinverse; spherical wrist; numerical approaches and Newton-Raphson method Kinematics of closed-chains Robot dynamics: Lagrangian dynamics; Euler-Newton equations for open kinematic chains. Forward and inverse dynamics. Trajectory generation: trajectories in space of homogeneous transformations; minimum time trajectories Feedback control: Actuators and sensors; velocity and torque control; PID control; linearization; feedback linearization Vision-based control: The geometry of image formation; feature extraction; feature tracking (lab) Introduction: Historical development of robots; basic terminology and structure; robots in automated manufacturing, robot configuration space and its topology, degrees of freedom Rigid Motions and Homogeneous Transformation: Rotations and their composition; Exponential coordinates; Screw theory; Twists; Euler angles; homogeneous transformations Forward Kinematics: Common robot configurations; Product of Exponentials formula; Denavit-Hartenberg convention Velocity kinematics: Angular velocity and acceleration; The Jacobian Statics of open chains: The use of the Jacobian; singular configurations; manipulability Inverse kinematics: Planar mechanisms; geometric approaches; pseudoinverse; spherical wrist; numerical approaches and Newton-Raphson method Kinematics of closed-chains Robot dynamics: Lagrangian dynamics; Euler-Newton equations for open kinematic chains. Forward and inverse dynamics. Trajectory generation: trajectories in space of homogeneous transformations; minimum time trajectories Feedback control: Actuators and sensors; velocity and torque control; PID control; linearization; feedback linearization Vision-based control: The geometry of image formation; feature extraction; feature tracking (lab)"
87,ECE472,Biomedical Ultrasound Imaging,b'3',"
Theoretical and engineering foundations of ultrasonic imaging for medical diagnostics. Conventional, Doppler, and advanced ultrasonic imaging techniques; medical applications of different ultrasonic imaging techniques; engineering problems related to characterization of ultrasonic sources and arrays, image production, image quality, the role of contrast agents in ultrasonic imaging, and system design. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_329.
",Acoustic wave propagation Attenuation in ultrasound Ultrasonic Sources Fields Conventional ultrasonic imaging Arrays Ultrasound Contrast Agents (UCAs) Harmonic Imaging Doppler (theory) Continuous wave Doppler Pulsed wave Doppler Color Flow Imaging Doppler with ultrasound contrast agents Coded excitation Elastography Quantitative ultrasound imaging Acoustic wave propagation Attenuation in ultrasound Ultrasonic Sources Fields Conventional ultrasonic imaging Arrays Ultrasound Contrast Agents (UCAs) Harmonic Imaging Doppler (theory) Continuous wave Doppler Pulsed wave Doppler Color Flow Imaging Doppler with ultrasound contrast agents Coded excitation Elastography Quantitative ultrasound imaging
88,ECE473,Fund of Engrg Acoustics,b'3 or 4',"
Development of the basic theoretical concepts of acoustical systems; mechanical vibration, plane and spherical wave phenomena in fluid media, lumped and distributed resonant systems, and absorption phenomena and hearing. Same as TAM_413. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: MATH_285 or MATH_286.
",Vibrating systems; strings Plane waves in fluid media Spherical waves in fluid media Radiation in fluid media Resonators and filters Absorption phenomena Vibrating systems; strings Plane waves in fluid media Spherical waves in fluid media Radiation in fluid media Resonators and filters Differential equations Advanced calculus Classical mechanics Electricity and magnetism
89,ECE476,Power System Analysis,b'3',"
Development of power system equivalents by phase network analysis, load flow, symmetrical components, sequence networks, fault analysis, and digital simulation. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_330.
",Review of 3 phase systems Per unit representation Transmission line parameters Transmission line representation and analysis Network matrices Power flow Symmetrical components Sequence networks Symmetric and asymmetrical fault analysis Transient stability Economic dispatch Relaying Review of 3 phase systems Per unit representation Transmission line parameters Transmission line representation and analysis Network matrices Power flow Symmetrical components Sequence networks Symmetric and asymmetrical fault analysis Relaying Economic dispatch Transient stability Three-phase systems and phasors Differential equations Matrix algebra Basic understanding of electrical machines and transformers Computer programming
90,ECE478,Formal Software Devel Methods,b'3 or 4',"
Same as CS_477. See CS_477.
","Be able to do solve problems using structural induction, Write code contracts, invariants, and assertions that describe a program's specification formally, Analyze a program with assertions and find inductive invariants to prove the program correct, Given a program with assertions and inductive invariants, be able to derive verification conditions in logic, Be able to formulate specifications and properties of structures in logic, Give proofs in Hoare Logic of properties about simple imperative programs, Build an abstract interpretation scheme for a program that is sound with respect to given desired properties"
91,ECE480,Magnetic Resonance Imaging,b'3 or 4',"
Fundamental physical, mathematical, and computational principles governing the data acquisition and image reconstruction of magnetic resonance imaging. Same as BIOE_480. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Recommended: ECE_310.
","Basic physical principles for signal generation and detection: magnetized spin systems; RF excitations; MR signal detection and characteristics Imaging principles: selective excitations; phase-encoding; frequency-encoding; k-space sampling trajectories Image reconstruction techniques: concepts of ill-posedness and point spread function; computational techniques for image reconstruction from sampled Fourier transform and Radon transform data Image contrast, resolution, signal-to-noise, and artifacts: MR contrast mechanisms; resolution limitations; noise characteristics; motion artifacts Fast-scan imaging: fast spin-echo imaging; fast gradient-echo imaging; echo-planar imaging; and burst exitations Constrained imaging: concepts of image reconstruction with a priori constraints Basic physical principles for signal generation and detection: magnetized spin systems; RF excitations; MR signal detection and characteristics Imaging principles: selective excitations; phase-encoding; frequency-encoding; k-space sampling trajectories Image reconstruction techniques: concepts of ill-posedness and point spread function; computational techniques for image reconstruction from sampled Fourier transform and Radon transform data Image contrast, resolution, signal-to-noise, and artifacts: MR contrast mechanisms; resolution limitations; noise characteristics; motion artifacts Fast-scan imaging: fast spin-echo imaging; fast gradient-echo imaging; echo-planar imaging; and burst exitations Constrained imaging: concepts of image reconstruction with a priori constraints"
92,ECE481,Nanotechnology,b'4',"
Fundamental physical properties of nanoscale systems. Nanofabrication techniques, semiconductor nanotechnology, molecular and biomolecular nanotechnology, carbon nanotechnology (nanotubes and graphene), nanowires, and nanoscale architectures and systems. 4 undergraduate hours. 4 graduate hours. Prerequisite: One of CHEM_442, CHBE_457, ME_485, MSE_401, PHYS_460.
","Fundamental physical properties of nanoscale systems Nanofabrication techniques Semiconductor nanotechnology Molecular and biomolecular nanotechnology Carbon nanotechnology (nanotubes and graphene) 2D materials and heterostructures Nanowires Nanoscale architectures and systems Basic principles are taught early in the course ( , ) Followed by critical reviews of the current literature ( , , , ) Finally, students exercise 'out-of-the-box' thinking by proposing something that has not been done for their final proposals. These proposal are in NSF format to give students experience in relevant future fund-raising endeavors. ( , , , , , ) Students also give in-class, conference format presentations to practice their skill at effectively conveying their thoughts to an audience. ( , , ) Nanotechology experiments are performed in a cleanroom setting. ( , , , , )"
93,ECE482,Digital IC Design,b'3',"
Bipolar and MOS field effect transistor characteristics; VLSI fabrication techniques for MOS and bipolar circuits; calculation of circuit parameters from the process parameters; design of VLSI circuits such as logic, memories, charge-coupled devices, and A/D and D/A converters. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_342.
",Basic theory and characteristics of MOS devices Circuit models and computer-aided analysis of MOS circuits Design of the basic MOS digital inverter Design with MOS static and dynamic circuits MOS memories Programmable logic arrays I/O circuit design BICMOS circuits Basic theory and characteristics of MOS devices Circuit models and computer-aided analysis of MOS circuits Design of the basic MOS digital inverter Design with MOS static and dynamic circuits MOS memories Programmable logic arrays I/O circuit design BICMOS circuits Semiconductor materials and their electronic properties Electronic circuit analysis Digital logic circuits
94,ECE483,Analog IC Design,b'3',"
Basic linear integrated circuit design techniques using bi-polar, JFET, and MOS technologies; operational amplifiers; wide-band feedback amplifiers; sinusoidal and relaxation oscillators; electric circuit noise; application of linear integrated circuits. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_342.
","Large and small signal analysis Op amp design Closed-loop stability of op amp Electric circuit noise Feedback amplifiers Oscillator Large and small signal analysis Op amp design Closed-loop stability of op amp Electronic noise Feedback amplifiers Bipolar and MOS device operation Basic circuit theory; KCL, KVL, Laplace transform, and Bode plot Elimentary amplifier stages Feedback stability criteria; magnitude and phase margin Circuit simulation program; SPICE"
95,ECE485,MEMS Devices & Systems,b'3',"
Introduction to principles, fabrication techniques, and applications of microelectromechanical systems (MEMS). In-depth analysis of sensors, actuator principles, and integrated microfabrication techniques for MEMS. Comprehensive investigation of state-of-the-art MEMS devices and systems. Same as ME_485. 3 undergraduate hours. 3 graduate hours.
","Introduction and motivation Electrostatic sensing and actuation principles Thermal sensing and actuation principles Piezoresistive sensing principles Piezoelectric sensing and actuation principles Magnetic sensing and actuation principles Bulk and surface micromachining techniques Microfabrication of semiconductor and in-organic materials Case studies Introduction and motivation Electrostatic sensing and actuation principles Thermal sensing and actuation principles Piezoresistive sensing principles Piezoelectric sensing and actuation principles Magnetic sensing and actuation principles Bulk and surface micromachining techniques Microfabrication of semiconductor and in-organic materials Microfluidics and BioMEMS Nanoelectromechanical Systems (NEMS) Case studies

	"
96,ECE486,Control Systems,b'4',"
Analysis and design of control systems with emphasis on modeling, state variable representation, computer solutions, modern design principles, and laboratory techniques. 4 undergraduate hours. 4 graduate hours. Prerequisite: ECE_210.
",Modeling and dynamic response Root locus design method Frequency response design methods State-space design Modeling and dynamic response Root locus design method Frequency response design methods State-space design Laplace transform Linear systems theory
97,ECE487,Intro Quantum Electr for EEs,b'3',"
Application of quantum mechanical concepts to electronics problems; detailed analysis of a calculable two-state laser system; incidental quantum ideas bearing on electronics. 3 undergraduate hours. 3 graduate hours. Prerequisite: PHYS_485.
",time-independent Schrodinger equation quantum mechanical tunneling bound states and scattering transmission electron microscopy the energy spectrum of diatomic and aromatic molecules the band structure of one-dimensional crystalline and disordered solids perturbation theory and field quantization two-state lasers qubits quantum entanglement quantum computation and quantum algorithms time-independent Schrodinger equation quantum mechanical tunneling bound states and scattering transmission electron microscopy the band structure of one-dimensional crystalline and disordered solids perturbation theory and field quantization two-state lasers qubits quantum entanglement quantum computation and quantum algorithms
98,ECE488,Compound Semicond & Devices,b'3',"
Advanced semiconductor materials and devices; elementary band theory; heterostructures; transport issues; three-terminal devices; two-terminal devices; including lasers and light modulators. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_340 and ECE_350.
","Review of quantum, mechanical basics including wave-particle duality, Schroedinger wave equation, one-dimensional free and bounded particles in quantum wells Introduction to compound semiconductor crystals, stuctural and electrical properties, free carrier concentration and Fermi-Dirac integral, III-V alloys Phase equilibrium, growth of bulk crystals and phase equilibrium, liquid phase epitaxy, vapor phase epitaxy, metalorganic chemical vapor deposition, molecular beam epitaxy Basic heterostructure properties, energy band alignment models, strain effect on the bandgap energies, abrupt p-N heterojunction in equilibrium, heterojunction under bias Electronic properties of real quantum wells, potential barrier and tunneling, superlattices and miniband, quantum wells in electric fields, modulation doping and two-dimensional electron gas Optical properties of dialectrics, absorption, radiative transitions - Einstein relations, stimulated emission, absorption and emission rates in semiconductors, transitions in degenerated semiconductors, nonradiative recombination processes Metal-semiconductor field-effect transistors, pseudomorphic high-electron mobility transistors, heterojunction bipolar transistors, transfer electron devices, resonant tunneling devices Photodetectors, solar cells, light-emitting diodes (LEDs), dialectric waveguide and heterostucture laser theories, quantum well lasers, distributed feedback lasers, vertical cavity surface emitting lasers Review of quantum, mechanical basics including wave-particle duality, Schroedinger wave equation, one-dimensional free and bounded particles in quantum wells Introduction to compound semiconductor crystals, stuctural and electrical properties, free carrier concentration and Fermi-Dirac integral, III-V alloys Phase equilibrium, growth of bulk crystals and phase equilibrium, liquid phase epitaxy, vapor phase epitaxy, metalorganic chemical vapor deposition, molecular beam epitaxy Basic heterostructure properties, energy band alignment models, strain effect on the bandgap energies, abrupt p-N heterojunction in equilibrium, heterojunction under bias Electronic properties of real quantum wells, potential barrier and tunneling, superlattices and miniband, quantum wells in electric fields, modulation doping and two-dimensional electron gas Optical properties of dialectrics, absorption, radiative transitions - Einstein relations, stimulated emission, absorption and emission rates in semiconductors, transitions in degenerated semiconductors, nonradiative recombination processes Metal-semiconductor field-effect transistors, pseudomorphic high-electron mobility transistors, heterojunction bipolar transistors, transfer electron devices, resonant tunneling devices Photodetectors, solar cells, light-emitting diodes (LEDs), dialectric waveguide and heterostucture laser theories, quantum well lasers, distributed feedback lasers, vertical cavity surface emitting lasers Silicon-based solid state device background Electromagnetics through wave propagation"
99,ECE489,Robot Dynamics and Control,b'4',"
Same as ME_446 and SE_422. See SE_422.
","This course is intended for seniors and 1st year graduate students from a wide variety of engineering disciplines. We will emphasize the basics of motion and force control for robotic manipulators. Transformations from task space to joint space will allow for the joint level control. The study of forward and inverse kinematics, along with differential kinematics will provide a foundation for developing robot controllers. We will examine robots operating in free spaces as well as in contact with environments. Advanced topics will look at mobile robotic systems and their motion through an environment. It is assumed the student has a basic knowledge of control systems including feedback and feedforward control. Additionally, the student should know dynamics of multi-body systems well"
100,ECE490,Introduction to Optimization,b'3 or 4',"
Basic theory and methods for the solution of optimization problems; iterative techniques for unconstrained minimization; linear and nonlinear programming with engineering applications. Same as CSE_441. 3 undergraduate hours. 4 graduate hours. Prerequisite: ECE_220 and MATH_415.
","Introduction and review of fundamentals Unconstrained optimization Optimization subject to equality constraints Nonlinear programming Linear programming Selected topics from dynamic programming, large-scale programming, and multicriteria optimization Introduction and review of fundamentals Unconstrained optimization Optimization subject to equality constraints Nonlinear programming Linear programming Selected topics from dynamic programming, large-scale programming, and multicriteria optimization Differential calculus Linear algebra Computer programming Ability to reason in abstract terms"
101,ECE491,Numerical Analysis,b'3 or 4',"
Same as CS_450, CSE_401 and MATH_450. See CS_450.
","Direct linear system solvers 

 Optimization techniques 

 Interpolation and approximation of functions 

 Solving nonlinear systems 

 Eigenvalue problems 

 Least squares problems 

 Numerical integration 

 Numerical handling of ordinary differential equations, partial differential equations 

 Direct linear system solvers 

 Optimization techniques 

 Interpolation and approximation of functions 

 Solving nonlinear systems 

 Eigenvalue problems 

 Least squares problems 

 Numerical integration 

 Numerical handling of ordinary differential equations, partial differential equations 

"
102,ECE492,Parallel Progrmg: Sci & Engrg,b'3 or 4',"
Same as CS_420 and CSE_402. See CS_420.
","Ideal and real machine models: vector (pipelined) processors, array machines, shared-memory multiprocessors, message-passing multiprocessors, others; programming constructs native to each class of machines, Programming models and their languages: data-parallel models (array parallelism, parallel loops), process-based models; illustrative examples, such as matrix multiplication, sorting, and the n-body problem, Cast models and efficiency analysis of parallel programs, Parallel programming issues: locality, grain size, scheduling, load balancing, data distribution and alignment, communication analysis, synchronous programming, determinacy and nondeterminacy, Debugging parallel programs, Performance measurement, evaluation and tuning, Application case studies, e.g., from computational fluid dynamics, computational biology, and operations research, Optional topic selected, e.g., from discrete event simulation, grid-structured computations, tree-structured computations, sparse and dense linear systems, parallelizing compilers"
103,ECE493,Advanced Engineering Math,b'3 or 4',"
Same as MATH_487. See MATH_487.
","learn Fourier analysis for solving boundary value problems, to study Sturm-Liouville Systems, and to use complex variables to study Fourier and Laplace transforms and their inversions, Linear Algebra, Differential Equations, Complex Variables"
104,ECE495,Photonic Device Laboratory,b'3',"
Active photonic devices and lightwave technology. Hands-on experience with several classes of lasers (HeNe laser, semiconductor edge emitting lasers, vertical cavity surface emitting lasers), photodetectors, and photonic systems. Familiarization with experimental optical characterization techniques and equipment. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE_487 recommended.
","Laser fundamentals (experiments), focussing on longitudinal modes, saturation, short pulse generation, laser threshold, photodetectors, and pumping methods Laser projects and laser system experiments"
105,ECE496,Senior Research Project,b'2',"
Individual research project under the guidance of a faculty member: for example, mathematical analysis, laboratory experiments, computer simulations, software development, circuit design, or device fabrication. Preparation of a written research proposal, including preliminary results. 2 undergraduate hours. No graduate credit. May be repeated. ECE_496 and ECE_499 taken in sequence fulfill the Advanced Composition Requirement. Prerequisite: RHET_105; consent of instructor. This course satisfies the General Education Criteria for:Advanced Composition",
106,ECE498,Special Topics in ECE,b'0 to 4',"
Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 0 to 4 undergraduate hours. 0 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.
",
107,ECE499,Senior Thesis,b'2',"
Completion of the research project begun under ECE_496. Preparation and oral presentation of a written thesis that reports the results of the project. 2 undergraduate hours. No graduate credit. To fulfill the Advanced Composition Requirement, credit must be earned for both ECE_496 and ECE_499. Prerequisite: ECE_496 and consent of instructor.This course satisfies the General Education Criteria for:Advanced Composition",
108,ECE500,ECE Colloquium,b'0',"
Required of all graduate students. Approved for S/U grading only.
",
109,ECE508,Manycore Parallel Algorithms,b'4',"
Algorithm techniques for enhancing the scalability of parallel software: scatter vs. gather, problem decomposition, spatial sorting and binning, privatization for reduced conflicts, tiling for data locality, regularization for improved load balance, compaction to conserve memory bandwidth, double-buffering to overlap latencies, and data layout for improved efficiency of DRAM accesses. Same as CS_508. 4 graduate hours. No professional credit. Prerequisite: ECE_408 or CS_420.
",
110,ECE510,Micro and Nanolithography,b'4',"
Comprehensive foundation in the broad field of micro and nanolithography; the science of optical imaging, photochemistry, and materials issues; technological developments including state-of-the-art commercial lithography systems. Applications of micro and nanolithography to diverse fields including: semiconductor devices, displays, flexible electronics, microelectromechanical systems, and biotechnology. Prerequisite: One of ECE_444, ECE_460, MSE_462, NPRE_429, PHYS_402.
","Evolution of microelectronic devices; critical role of lithography.   Fundamental elements and attributes of microlithographic processes.   Types of microlithography; optical, e-beam, X-ray, EUV, nanoimprint.   Excimer lasers as dominant sources for lithography. Key features.   Optical projection lithography. Primary concepts. Steppers and scanners.   Lithography on flexible substrates. Roll-to-roll lithography.   Photoresists. Main constituents and functions. Performance parameters.   Resolution enhancement techniques. Phase shift masks. Immersion lithography.   Maskless lithography. Spatial light modulators. Biotechnology applications.   Electron-beam lithography. Electron Sources. Resists. Exposure concepts.   X-ray lithography. X-ray sources, synchrotron. Masks. Resists. Applications.   Extreme ultraviolet (EUV) lithography. Sources, masks, resists Challenges.   Nanoimprint lithography. Basic concepts. Limitations. Applications.   UV laser photoablation. Photochemistry. Ablation systems. Key applications.  Evolution of microelectronic devices; critical role of lithography.   Fundamental elements and attributes of microlithographic processes.   Types of microlithography; optical, e-beam, X-ray, EUV, nanoimprint.   Excimer lasers as dominant sources for lithography. Key features.   Optical projection lithography. Primary concepts. Steppers and scanners.   Lithography on flexible substrates. Roll-to-roll lithography.   Photoresists. Main constituents and functions. Performance parameters.   Resolution enhancement techniques. Phase shift masks. Immersion lithography.   Maskless lithography. Spatial light modulators. Biotechnology applications.   Electron-beam lithography. Electron Sources. Resists. Exposure concepts.   X-ray lithography. X-ray sources, synchrotron. Masks. Resists. Applications.   Extreme ultraviolet (EUV) lithography. Sources, masks, resists Challenges.   Nanoimprint lithography. Basic concepts. Limitations. Applications.   UV laser photoablation. Photochemistry. Ablation systems. Key applications. "
111,ECE511,Computer Architecture,b'4',"
Advanced concepts in computer architecture: design, management, and modeling of memory hierarchies; stack-oriented processors; associative processors; pipelined computers; and multiple processor systems. Emphasis on hardware alternatives in detail and their relation to system performance and cost. Same as CSE_521. Prerequisite: ECE_411 or CS_433.
","Processor design: memory hierarchy; bus, cache, and shared memory; disk arrays, pipelining and superscalar techniques; reducing branch penalties; multivector computers Parallel array processors: SIMD computers; interconnection networks; systolic arrays Multiprocessors: program and network properties; scalability issues; performance evaluation; caches and consistency issues; parallel programming and compilers; scheduling algorithms Distributed-memory multicomputers: architecture; distributed shared memory; routing and network design issues; load balancing/data mapping algorithms; performance evaluation and visualization; design of parallel algorithms; scalable, multithreaded, and dataflow architectures; applications Distributed processing: distributed operating system; load balancing algorithms Processor design: memory hierarchy; bus, cache, and shared memory; disk arrays, pipelining and superscalar techniques; reducing branch penalties; multivector computers Parallel array processors: SIMD computers; interconnection networks; systolic arrays Multiprocessors: program and network properties; scalability issues; performance evaluation; caches and consistency issues; parallel programming and compilers; scheduling algorithms Distributed-memory multicomputers: architecture; distributed shared memory; routing and network design issues; load balancing/data mapping algorithms; performance evaluation and visualization; design of parallel algorithms; scalable, multithreaded, and dataflow architectures; applications Distributed processing: distributed operating system; load balancing algorithms"
112,ECE512,Computer Microarchitecture,b'4',"
Design of high performance computer systems; instruction level concurrency; memory system implementation; pipelining, superscalar, and vector processing; compiler back-end code optimization; profile assisted code transformations; code generation and machine dependent code optimization; cache memory design for multiprocessors; synchronization implementation in multiprocessors; compatibility issues; technology factors; state-of-the-art commercial systems. Prerequisite: ECE_511 and CS_426.
","Introduction and architecture Retargetable optimizing code generators Compile-time instruction memory access optimization: inlining and trace placement Instruction sequencing: branch target buffers, slot-based methods, exception handling, complexity and efficiency Data register efficiency: register allocation, renaming, windowing, interprocedural allocation Instruction concurrency: interlocking, forwarding compaction, multiple issue, state recovery Execution efficiency: hyperblock global code transformation Caches and interconnection for multiprocessors: directory/snooping nvalidate/update, multilevel, compilation, bus architectures Synchronization for multiprocessors: atomicity and locii, processor chips, processor boards, buses and memory boards Advanced system design tools: benchmark characterization, execution driven simulation, and fast system simulation Introduction and architecture Retargetable optimizing code generators Compile-time instruction memory access optimization: inlining and trace placement Instruction sequencing: branch target buffers, slot-based methods, exception handling, complexity and efficiency Data register efficiency: register allocation, renaming, windowing, interprocedural allocation Instruction concurrency: interlocking, forwarding compaction, multiple issue, state recovery Execution efficiency: hyperblock global code transformation Caches and interconnection for multiprocessors: directory/snooping nvalidate/update, multilevel, compilation, bus architectures Synchronization for multiprocessors: atomicity and locii, processor chips, processor boards, buses and memory boards Advanced system design tools: benchmark characterization, execution driven simulation, and fast system simulation"
113,ECE513,Vector Space Signal Processing,b'4',"
Mathematical tools in a vector space framework, including: finite and infinite dimensional vector spaces, Hilbert spaces, orthogonal projections, subspace techniques, least-squares methods, matrix decomposition, conditioning and regularizations, bases and frames, the Hilbert space of random variables, random processes, iterative methods; applications in signal processing, including inverse problems, filter design, sampling, interpolation, sensor array processing, and signal and spectral estimation. Prerequisite: ECE_310, ECE_313, and MATH_415.
","Matrix inversion: orthogonal projections; left and right inverses; minimum-norm least squares solutions; Moore-Penrose pseudoinverse; reularization; singular value decomposition; Eckart and Young theorem; total least squares; principal components analysis Projections in Hilbert space: Hilbert space; projection theorem; normal equations, approximation and Fourier series; pseudoinverse operators, application to extrapolation of bandlimited sequences Hilbert space of random variables: spectral representation of discrete-time stochastic processes; spectral factorization; linear minimum-variance estimation; discrete-time Wiener filter; innovations representation; Wold decomposition; Gauss Markov theorem; sequential least squares; discrete-time Kalman filter Power spectrum estimation: system identification; Prony's linear prediction method; Fourier and other nonparametric methods of spectrum estimation; resolution limits and model based methods; autoregressive models and the maximum entropy method; Levinson's algorithm; lattice filters; harmonic retrieval by Pisarenko's method; direction finding with passive multi-sensor arrays Matrix inversion: orthogonal projections; left and right inverses; minimum-norm least squares solutions; Moore-Penrose pseudoinverse; reularization; singular value decomposition; Eckart and Young theorem; total least squares; principal components analysis Projections in Hilbert space: Hilbert space; projection theorem; normal equations, approximation and Fourier series; pseudoinverse operators, application to extrapolation of bandlimited sequences Hilbert space of random variables: spectral representation of discrete-time stochastic processes; spectral factorization; linear minimum-variance estimation; discrete-time Wiener filter; innovations representation; Wold decomposition; Gauss Markov theorem; sequential least squares; discrete-time Kalman filter Power spectrum estimation: system identification; Prony's linear prediction method; Fourier and other nonparametric methods of spectrum estimation; resolution limits and model based methods; autoregressive models and the maximum entropy method; Levinson's algorithm; lattice filters; harmonic retrieval by Pisarenko's method; direction finding with passive multi-sensor arrays"
114,ECE515,Control System Theory & Design,b'4',"
Feedback control systems emphasizing state space techniques. Basic principles, modeling, analysis, stability, structural properties, optimization, and design to meet specifications. Same as ME_540. Prerequisite: ECE_486.
","System modeling and analysis: system design as a control problem - constraints, goals and performance specifications, input-output and state space models; linearization; review of linear algebra; fundamentals of state-space analysis of linear systems System structural properties: stability; introduction to Lyapunov methods; controllability, observability; canonical forms and minimal realizations.

Modeling uncertainties; system sensitivity and robustness measures. 

 Feedback system design: basic properties of feedback; stabilization and eigenvalue placement by state and output feedback; disturbance rejection; observers for estimating states, and observer feedback systems Optimum feedback control: dynamic programming and the Hamilton-Jacobi-Bellman equation; synthesis of optimum state regulator systems; numerical methods Introduction to the minimum principle: calculus of variations and necessary conditions for optimal trajectories; minimum principle for bounded controls; time-optimal control of linear systems; numerical methods System modeling and analysis: system design as a control problem - constraints, goals and performance specifications, input-output and state space models; linearization; review of linear algebra; fundamentals of state-space analysis of linear systems System structural properties: stability; introduction to Lyapunov methods; controllability, observability; canonical forms and minimal realizations.

Modeling uncertainties; system sensitivity and robustness measures. 

 Feedback system design: basic properties of feedback; stabilization and eigenvalue placement by state and output feedback; disturbance rejection; observers for estimating states, and observer feedback systems Optimum feedback control: dynamic programming and the Hamilton-Jacobi-Bellman equation; synthesis of optimum state regulator systems; numerical methods Introduction to the minimum principle: calculus of variations and necessary conditions for optimal trajectories; minimum principle for bounded controls; time-optimal control of linear systems; numerical methods"
115,ECE517,Nonlinear & Adaptive Control,b'4',"
Design of nonlinear control systems based on stability considerations; Lyapunov and hyperstability approaches to analysis and design of model reference adaptive systems; identifiers, observers, and controllers for unknown plants. Prerequisite: ECE_515.
","Lyapunov Stability and Boundedness Identification and Parameter Estimation Bayesian and Non-Bayesian Adaptive Control Gradient and Least Squares Schemes Direct and Indirect Adaptive Control Self Tuning Regulators, Model Reference and Pole Placement Algorithms Convergence, Stability and Robustness Properties Lyapunov Stability and Boundedness Identification and Parameter Estimation Bayesian and Non-Bayesian Adaptive Control Gradient and Least Squares Schemes Direct and Indirect Adaptive Control Self Tuning Regulators, Model Reference and Pole Placement Algorithms Convergence, Stability and Robustness Properties"
